Reef_ID,Nick_ID,LAT,LON,UNIQUE_ID,LABEL_ID,GBR_NAME,OldReefName,AREA_DESCR,Shelf_position,AIMS_sector,Reference_Area_km2,Geom_2D_Area_km2,GeomCH_2D_Area_km2,Geom_3D_Area_km2,GeomCH_3D_Area_km2
169,78,-11.2045,143.3937,11033102104,11-033b,U/N Reef,U/N Reef (11-033b),Far Northern,2,1,1.66402288103,1.428035,0.198142,2.30637,0.4381
170,104,-11.3682,143.5458,11048102104,11-048b,Turning Point Patches (No 2),Turning Point Patches (No 2) (11-048b),Far Northern,2,1,61.6219459218,11.147681,1.041155,15.8526,1.477
171,107,-11.361,143.3355,11049100104,11-049,U/N Reef,U/N Reef (11-049),Far Northern,2,1,3.96526630493,3.753713,1.937423,8.52976,6.10143
172,110,-11.3773,143.1607,11050100104,11-050,U/N Reef,U/N Reef (11-050),Far Northern,1,1,8.87289969621,8.818861,2.232974,13.590959,6.253963
173,88,-11.3705,143.0732,11051100104,11-051,U/N Reef,U/N Reef (11-051),Far Northern,1,1,0.16165339598,0.16165339598,0.102975134036968,0.939973671425088,0.683484388397589
174,121,-11.3896,143.0702,11052100104,11-052,Cholmondeley Reef,Cholmondeley Reef (11-052),Far Northern,1,1,8.53361150275,8.464116,2.816133,11.75854,5.29915
175,88,-11.3851,143.0353,11053100104,11-053,Jardine Reef,Jardine Reef (11-053),Far Northern,1,1,1.66468248743,1.645061,1.064274,3.203143,2.291
176,110,-11.434,143.1652,11054100104,11-054,U/N Reef,U/N Reef (11-054),Far Northern,1,1,10.9339213884,10.633662,1.802185,14.2327,3.88211
177,126,-11.4539,143.042,11055100104,11-055,Wallace Islet Reef,Wallace Islet Reef (11-055),Far Northern,1,1,4.75368382976,4.428482,2.418846,6.394933,3.7329
178,76,-11.1833,143.0328,11035100104,11-035,Milman-Aplin Reef,Milman-Aplin Reef (11-035),Far Northern,1,1,5.66868721857,5.663532,3.669554,9.29371,7.131
179,77,-11.1844,143.1976,11036100104,11-036,Parsons Reef,Parsons Reef (11-036),Far Northern,2,1,12.8467309568,7.399513,1.914253,12.87212,4.50723
180,83,-11.2154,143.3181,11037100104,11-037,Collette Reef,Collette Reef (11-037),Far Northern,2,1,23.8994454689,9.017434,1.328704,14.1336,3.1513
181,76,-11.2432,143.0007,11038100104,11-038,Douglas Islet Reef,Douglas Islet Reef (11-038),Far Northern,1,1,2.03760744053,2.034,1.714197,3.983182,3.457782
182,89,-11.2414,143.2571,11039100104,11-039,U/N Reef,U/N Reef (11-039),Far Northern,2,1,1.62363530768,1.461028,1.148718,4.157311,3.77486
183,88,-11.2714,143.1497,11040100104,11-040,U/N Reef,U/N Reef (11-040),Far Northern,2,1,12.4550746804,10.825692,1.084012,16.453228,1.949528
184,88,-11.2886,143.0342,11041101104,11-041a,U/N Reef,U/N Reef (11-041a),Far Northern,1,1,0.288960971892,0.288960971892,0.180609774294239,1.49595722156658,1.05225136026337
185,88,-11.2874,143.0462,11041102104,11-041b,U/N Reef,U/N Reef (11-041b),Far Northern,1,1,0.548409925453,0.548409925453,0.331073039265865,2.49765280833615,1.67553997242983
186,88,-11.295,143.1963,11042100104,11-042,U/N Reef,U/N Reef (11-042),Far Northern,2,1,11.4051517837,10.640797,2.100043,16.250556,4.889156
187,89,-11.2974,143.2813,11043100104,11-043,Onslow Reef,Onslow Reef (11-043),Far Northern,2,1,0.424575229003,0.424575229003,0.2604440733184,2.0352208593388,1.39333889505239
188,91,-11.2769,143.3693,11044100104,11-044,Wilds Shoal,Wilds Shoal (11-044),Far Northern,2,1,59.0042962165,38.089737,3.01373,41.7979,1.351
189,93,-11.2706,143.4852,11045100104,11-045,U/N Reef,U/N Reef (11-045),Far Northern,2,1,10.3376140435,8.446931,0.479902,11.4116,0.8285
190,88,-11.3191,143.1263,11046100104,11-046,U/N Reef,U/N Reef (11-046),Far Northern,1,1,1.36469825159,1.303152,0.307895,2.44732,0.7238
191,88,-11.3416,143.1278,11047100104,11-047,U/N Reef,U/N Reef (11-047),Far Northern,1,1,3.81680019988,3.769656,1.44231,6.75721,4.046
192,102,-11.3292,143.4056,11048101104,11-048a,Turning Point Patches (No 1),Turning Point Patches (No 1) (11-048a),Far Northern,2,1,42.0522076335,25.278006,3.300949,36.6648,7.7172
193,94,-11.2543,143.5428,11071100104,11-071,U/N Reef,U/N Reef (11-071),Far Northern,2,1,51.0414364436,14.788416,0.772357,17.6207,0.4565
194,98,-11.2826,143.9955,11072100104,11-072,U/N Reef,U/N Reef (11-072),Far Northern,3,1,0.808564128182,0.729653,0.306646,2.70726,1.4667
195,98,-11.2824,144.0058,11073100104,11-073,U/N Reef,U/N Reef (11-073),Far Northern,3,1,0.624651410289,0.611714,0.434112,2.249453,1.66591
196,98,-11.2949,143.9963,11074100104,11-074,U/N Reef,U/N Reef (11-074),Far Northern,3,1,1.91825054772,0.882016,0.750938,3.49379,3.0556
197,98,-11.2953,143.9792,11075100104,11-075,U/N Reef,U/N Reef (11-075),Far Northern,3,1,0.80512759618,0.501955,0.389968,2.27415,1.808
198,98,-11.3093,143.9808,11076100104,11-076,U/N Reef,U/N Reef (11-076),Far Northern,3,1,0.82463287627,0.34261,0.281317,1.44309,1.23302
199,122,-11.5046,143.4012,11056101104,11-056a,U/N Reef,U/N Reef (11-056a),Far Northern,2,1,53.7004148206,33.10978,2.908722,35.1852,2.6172
200,116,-11.4618,143.2701,11056102104,11-056b,U/N Reef,U/N Reef (11-056b),Far Northern,2,1,100.193612974,83.226784,2.489393,96.1153,3.29299
201,107,-11.3969,143.3099,11056103104,11-056c,U/N Reef,U/N Reef (11-056c),Far Northern,2,1,33.0774439254,30.12155,1.333418,38.1172,2.6953
202,112,-11.4603,143.378,11056104104,11-056d,U/N Reef,U/N Reef (11-056d),Far Northern,2,1,7.17031539602,6.090767,0.301971,7.592601,0.5368
203,112,-11.4305,143.4389,11057100104,11-057,Cochin Reef,Cochin Reef (11-057),Far Northern,2,1,20.8419018285,16.954996,1.204795,22.8412,2.7988
204,121,-11.4681,143.1247,11058100104,11-058,Parkinson Reef,Parkinson Reef (11-058),Far Northern,1,1,2.41082921349,2.392566,0.988164,3.58576,1.8339
205,121,-11.472,143.1567,11059100104,11-059,Monkman Reef,Monkman Reef (11-059),Far Northern,1,1,7.16199977419,7.101006,1.242486,9.254045,2.2588
206,121,-11.482,143.0751,11060100104,11-060,U/N Reef,U/N Reef (11-060),Far Northern,1,1,1.98943030715,1.966166,1.036651,2.73964,1.684
207,126,-11.4888,143.0406,11061100104,11-061,Little Boydong Reef,Little Boydong Reef (11-061),Far Northern,1,1,3.02858095746,2.953323,1.415014,4.17075,2.09
